STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,KOR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2010,6.981661
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,KOR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2009,0.819862
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,KOR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2008,3.004405
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,KOR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2007,5.841963
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,KOR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2023,1.583015
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,KOR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2022,2.727565
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,KOR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2021,4.612968
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,KOR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2020,-0.700242
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,KOR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2019,2.313802
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,KOR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2018,3.176116
