FREQ,REF_AREA,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE
M,FR,771,2017-05,0.80597
M,FR,771,2017-06,0.68568
M,FR,771,2017-07,0.718204
M,FR,771,2017-08,0.904752
M,FR,771,2017-09,0.986645
M,FR,771,2017-10,1.056092
M,FR,771,2017-11,1.175884
M,FR,771,2017-12,1.19225
M,FR,771,2018-01,1.334528
M,FR,771,2018-02,1.183726
M,FR,771,2018-03,1.561728
M,FR,771,2018-04,1.639344
M,FR,771,2018-05,2.023492
M,FR,771,2018-06,2.023293
M,FR,771,2018-07,2.287808
M,FR,771,2018-08,2.25638
M,FR,771,2018-09,2.20073
M,FR,771,2018-10,2.20842
M,FR,771,2018-11,1.891067
M,FR,771,2018-12,1.590574
M,FR,771,2019-01,1.238329
M,FR,771,2019-02,1.317342
M,FR,771,2019-03,1.109489
M,FR,771,2019-04,1.263117
M,FR,771,2019-05,0.938467
M,FR,771,2019-06,1.170552
M,FR,771,2019-07,1.065066
M,FR,771,2019-08,1.040663
M,FR,771,2019-09,0.907686
M,FR,771,2019-10,0.762033
M,FR,771,2019-11,1.034316
M,FR,771,2019-12,1.45936
M,FR,771,2020-01,1.485293
M,FR,771,2020-02,1.426354
M,FR,771,2020-03,0.67379
M,FR,771,2020-04,0.326233
M,FR,771,2020-05,0.364229
M,FR,771,2020-06,0.200803
M,FR,771,2020-07,0.776011
M,FR,771,2020-08,0.21934
M,FR,771,2020-09,0.047847
M,FR,771,2020-10,0.047865
M,FR,771,2020-11,0.200918
M,FR,771,2020-12,-0.019051
M,FR,771,2021-01,0.554812
M,FR,771,2021-02,0.564431
M,FR,771,2021-03,1.109093
M,FR,771,2021-04,1.243305
M,FR,771,2021-05,1.422978
M,FR,771,2021-06,1.479149
M,FR,771,2021-07,1.150299
M,FR,771,2021-08,1.865068
M,FR,771,2021-09,2.161645
M,FR,771,2021-10,2.621759
M,FR,771,2021-11,2.778573
M,FR,771,2021-12,2.75343
M,FR,771,2022-01,2.853881
M,FR,771,2022-02,3.633942
M,FR,771,2022-03,4.48227
M,FR,771,2022-04,4.82713
M,FR,771,2022-05,5.19774
M,FR,771,2022-06,5.839759
